,label,group,measure,elevation,xval,yval,amplitude,displacement,r2,PAQ1,PAQ2,PAQ3,PAQ4,PAQ5,PAQ6,PAQ7,PAQ8,model
23,nld_max_N,nld,max_N,-0.004002094664881983,-0.5422819881660863,0.3149137949947484,0.6270888716660166,149.85542366697,0.998637159970155,0.0,43.0,111.0,125.0,174.0,257.0,307.0,341.0,Corrected Angles
9,nld_max_N,nld,max_N,-0.0630671239238953,-0.4854263050692089,0.4769103519823338,0.6805014191616783,135.50701117017678,0.9557051167718378,0.0,45.0,90.0,135.0,180.0,225.0,270.0,315.0,Equal Angles
24,spa_max_N,spa,max_N,0.013358781491727737,-0.47659045459616484,0.3785250557744035,0.6086211294895982,141.54215014406623,0.9795610991880269,0.0,41.0,103.0,147.0,174.0,238.0,279.0,332.0,Corrected Angles
10,spa_max_N,spa,max_N,-0.00012696172026285886,-0.47165718894845826,0.4401561013242286,0.6451340150850102,136.97865268576595,0.9827019629613636,0.0,45.0,90.0,135.0,180.0,225.0,270.0,315.0,Equal Angles
25,swe_max_N,swe,max_N,0.0011147689140721619,-0.5474736407002322,0.2938514172186325,0.6213501771649911,151.7757316468106,0.9917213476462807,0.0,66.0,87.0,146.0,175.0,249.0,275.0,335.0,Corrected Angles
11,swe_max_N,swe,max_N,-0.009718187886010315,-0.47522474879619503,0.39711197798404835,0.6193032253483022,140.11686290779235,0.9592522562890446,0.0,45.0,90.0,135.0,180.0,225.0,270.0,315.0,Equal Angles
26,tur_max_N,tur,max_N,0.012860133439572563,-0.4245148732578491,0.44811586825883665,0.6172687494134939,133.45076757350114,0.9714654137704528,0.0,55.0,97.0,106.0,157.0,254.0,289.0,313.0,Corrected Angles
12,tur_max_N,tur,max_N,-0.010101798525100866,-0.36472090616718184,0.5573984793666447,0.6661189114532465,123.1978092595585,0.9303895328998459,0.0,45.0,90.0,135.0,180.0,225.0,270.0,315.0,Equal Angles
13,vie_max_N,vie,max_N,-0.0036372530575901237,-0.367998375478952,0.08621428831034064,0.3779625746869738,166.8146038385432,0.8353845006335399,0.0,45.0,90.0,135.0,180.0,225.0,270.0,315.0,Equal Angles
27,vie_max_N,vie,max_N,-0.027038553858007193,-0.38728300174833824,0.1638969054855613,0.4205357524289063,157.06207683719683,0.9787021590429977,0.0,68.0,58.0,155.0,180.0,234.0,228.0,322.0,Corrected Angles
